Adres
Al. Jerozolimskie 154  
al. Niepodleglosci 227/233  
Bitwy Warszawskiej 1920 roku 7b
Bitwy Warszawskiej 1920 roku 7b
Bitwy Warszawskiej 1920 roku 7b
Brama 01   
A. Felinskiego 26
A. Felinskiego 54
A. Felinskiego 8
A. German 1
A. German 18
A. German 3
A. Grottgera 22
A. J. Madalinskiego 13
A. J. Madalinskiego 25
A. J. Madalinskiego 39
A. J. Madalinskiego 42
A. J. Madalinskiego 55
A. J. Madalinskiego 6/8
A. J. Madalinskiego 67
A. J. Madalinskiego 67B
A. J. Madalinskiego 70/78E
A. Mackiewicza  3/5
A. Mickiewicza 23
A. Mickiewicza 25
A. Mickiewicza 25
A. Mickiewicza 27
A. Mickiewicza 34/36
A. Mickiewicza 37
A. Pawinskiego 28
A. Pawinskiego 3
A. Pawinskiego 8
Agawy 16
"al. ""Solidarnosci"" 125b"
"al. ""Solidarnosci"" 129/131"
"al. ""Solidarnosci"" 155"
"al. ""Solidarnosci"" 159"
"al. ""Solidarnosci"" 49"
"al. ""Solidarnosci"" 68"
"al. ""Solidarnosci"" 77"
"al. ""Solidarnosci"" 83/89"
"al. ""Solidarnosci"" 88"
"al. ""Solidarnosci"" 90"
"al. ""Solidarnosci"" 92"
"al. ""Solidarnosci"" 93"
al. 3 Maja 12
al. 3 Maja 7
al. Armii Krajowej 4
al. Armii Ludowej 30
al. Armii Ludowej 6
al. Armii Ludowej 6
al. Bohaterow Wrzesnia 29
al. J. Ch. Szucha 16
al. J. Ch. Szucha 17/19
al. J. Ch. Szucha 25
al. Jana Pawla II 11
al. Jana Pawla II 13
al. Jana Pawla II 18
al. Jana Pawla II 22
al. Jana Pawla II 26 (1)
al. Jana Pawla II 26 (2)
al. Jana Pawla II 26 (3)
al. Jana Pawla II 34
al. Jana Pawla II 41a
al. Jana Pawla II 43a
al. Jana Pawla II 46/48a
al. Jana Pawla II 46/48k
al. Jana Pawla II 52/54
al. Jana Pawla II 78 (1)
al. Jana Pawla II 78 (2)
al. Jana Pawla II 80
Al. Jerozolimskie 100
Al. Jerozolimskie 101
Al. Jerozolimskie 113/115
Al. Jerozolimskie 119
Al. Jerozolimskie 120
Al. Jerozolimskie 125/127
Al. Jerozolimskie 132
Al. Jerozolimskie 133
Al. Jerozolimskie 134 (1)
Al. Jerozolimskie 134 (2)
Al. Jerozolimskie 135
Al. Jerozolimskie 135
Al. Jerozolimskie 135
Al. Jerozolimskie 136
Al. Jerozolimskie 136 (2)
Al. Jerozolimskie 139
Al. Jerozolimskie 141
Al. Jerozolimskie 141
Al. Jerozolimskie 149
Al. Jerozolimskie 151
Al. Jerozolimskie 151
Al. Jerozolimskie 159
Al. Jerozolimskie 181
Al. Jerozolimskie 181
Al. Jerozolimskie 185
Al. Jerozolimskie 2
Al. Jerozolimskie 25
Al. Jerozolimskie 25
Al. Jerozolimskie 28
Al. Jerozolimskie 3
Al. Jerozolimskie 30
Al. Jerozolimskie 42
Al. Jerozolimskie 50
Al. Jerozolimskie 51
Al. Jerozolimskie 54
Al. Jerozolimskie 57
Al. Jerozolimskie 65/79
Al. Jerozolimskie 7
Al. Jerozolimskie 7
Al. Jerozolimskie 89
Al. Jerozolimskie 92
Al. Jerozolimskie 92
Al. Jerozolimskie 94
Al. Jerozolimskie 94
Al. Jerozolimskie 96
al. Na Skarpie 15
al. Na Skarpie 19
al. Na Skarpie 20/26
al. Niepodleglosci 142
al. Niepodleglosci 147
al. Niepodleglosci 161
al. Niepodleglosci 162
al. Niepodleglosci 164
al. Niepodleglosci 165
al. Niepodleglosci 177
al. Niepodleglosci 212-214
al. Niepodleglosci 225
al. Niepodleglosci 235/237
al. Prymasa Tysiaclecia 32
al. Prymasa Tysiaclecia 46
al. Prymasa Tysiaclecia 46
al. Prymasa Tysiaclecia 62
al. Prymasa Tysiaclecia 62
al. Przyjaciol 8
al. Roz 6
al. Solidarnosci 60B
Al. Ujazdowskie 18
Al. Ujazdowskie 23
Al. Ujazdowskie 28
Al. Ujazdowskie 37
al. Wojska Polskiego 18
al. Wojska Polskiego 29
al. Wojska Polskiego 38
al. Wojska Polskiego 41
al. Wojska Polskiego 50/54
al. Wojska Polskiego 58
al. Wojska Polskiego 60
al. Wyzwolenia 11
al. Wyzwolenia 6
Andrzejowska 9
Andrzejowska 9
Architektow 15
Archiwalna 5
Asfaltowa 16
B. Brechta 2/4
B. Brechta 7
B. Brechta 9G
B. Trentowskiego 6
B. Trentowskiego 7
Bagatela 10
Bagatela 12
Bagatela 13
Bagno 3
Bagno 5-7
Bagno 7
Banderii 4
Banderii 4
Barska 16/20
Barska 16/20
Barska 2
Barska 28/30
Barska 38
Barska 5
Basniowa 3
Bednarska 13/15
Bednarska 21
Bednarska 8
Belgijska 14
Belgijska 5
Belwederska 26/30
Bialobrzeska 10
Bialobrzeska 13A
Bialobrzeska 13A
Bialobrzeska 15
Bialobrzeska 2
Bialobrzeska 22
Bialobrzeska 23
Bialobrzeska 26
Bialobrzeska 27
Bialobrzeska 27
Bialobrzeska 34
Bialobrzeska 58
Bialobrzeska 68
Bialostocka 11
Bialostocka 11
Bialostocka 22
Bialostocka 48
Bialostocka 7
Bialostocka 7
Bialostocka 9
Bielanska 10
Bielanska 4a
Bieniewicka 4
Bitwy pod Rokitna 1
Bitwy pod Rokitna 29/31
Bitwy Warszawskiej 1920 r. 10
Bitwy Warszawskiej 1920 r. 12
Bitwy Warszawskiej 1920 r. 14
Bitwy Warszawskiej 1920 r. 3
Bonifraterska 3/11
Braci Zaluskich 1
Braci Zaluskich 1
Braci Zaluskich 17
Braci Zaluskich 3
Braci Zaluskich 4
Braci Zaluskich 4
Braci Zaluskich 7
Bracka 3
Bracka 6/8
Bracka 9
Brodnowska 13/15
Brodnowska 13/15
Brodnowska 4
Brylowska 4
Brzeska 12
Brzeska 14A
Brzozowa 39/41
Burakowska 14
C. sniegockiej 10
C. sniegockiej 2
C. sniegockiej 2
Canaletta 2
Chlodna 20
Chlodna 9
Chmielna 120
Chmielna 126
Chmielna 33
Chmielna 33
Chmielna 73b
Chocimska 14
Chocimska 24
Chocimska 24
Chocimska 31
Chocimska 31
Chocimska 35
Chocimska 4
Chocimska 5
Ciasna 12
Ciasna 8
Cicha 3
Ciepla 3
Czerniakowska 201
Czerniakowska 231
Czerwonego Krzyza 4
Czestochowska 3
Czestochowska 3A
Czestochowska 42
Czestochowska 6
Daleka 2
Daleka 8
Dabrowszczakow 14
Dabrowszczakow 4
Dabrowszczakow 5A
Dluga 22
Dluga 3
Dluga 30/34
Dluga 7
Dluga 9
Dobra 13
Dobra 13
Dobra 17
Dobra 19
Dobra 22/24
Dobra 28
Dobra 4
Dobra 76
Dobra 87
Drawska 11
Drawska 19
Drawska 23
Drawska 25
Duchnicka 3
Dworkowa 1a
Dynasy 8
Dzialdowska 12
Dzielna 1
Dzielna 10-12
Dzielna 3
Dzielna 9
Dzika 4
E. Jelinka 12
E. Konopczynskiego 4-4a
E. Plater 10
E. Plater 36
E. Plater 47
E. Plater 55
E. Plater Dw. Centralny
E. Tyszkiewicza 30
E. Tyszkiewicza 35
E. Tyszkiewicza 6
Elblaska 37
Elblaska 45
Elblaska 6
Elblaska 65
Elektoralna  26-28
Elektoralna 12
Elektoralna 26
Elektoralna 5/7
Esperanto 14
Esperanto 5
Esperanto 9
F. Chopina  4/8
F. Chopina 5b
F. Czerwijowskiego 3/5
F. Czerwijowskiego 7
F. Karpinskiego 12
Fabryczna 16/22
Fabryczna 2
Fabryczna 6-8
Filarecka 2
Filarecka 3 
Filtrowa 34
Filtrowa 59
Filtrowa 62 (1)
Filtrowa 62 (2)
Filtrowa 70
Filtrowa 71a
Filtrowa 77
Filtrowa 83
Florianska 10
Foksal 12/14
Freta 7/9-11
G. Bruna 14
G. Bruna 18
G. Bruna 2
G. Bruna 24
G. Bruna 32
G. Bruna 4B
G. P. Boduena 4
Gdanska 2/23
gen. J. Zajaczka  15a
gen. J. Zajaczka 13
gen. J. Zajaczka 21
gen. J. Zajaczka 25
gen. J. Zajaczka 40
gen. M. Tokarzewskiego-Karaszewicza 4
gen. W. Andersa 12
gen. W. Andersa 21b
gen. W. Andersa 6
Gliniana  6d
Gorlicka 1
Gorlicka 13
Gorlicka 6
Gorczewska 1
Gorczewska 10
Gorczewska 16
Gorczewska 17B
Gorczewska 20
Gorczewska 21
Gorczewska 22
Gorczewska 26
Gorczewska 27/35
Gorczewska 37
Gorczewska 5/7/9
Gornoslaska 31
Gornoslaska 37
Gornoslaska 4a
Gornoslaska 8
Gornoslaska 9/11
Grazyny 15
Grazyny 3
Grenady 17
Grenady 3F
Grojecka 128a
Grojecka 17a
Grojecka 18/20
Grojecka 28/30
Grojecka 31
Grojecka 40
Grojecka 42
Grojecka 42
Grojecka 45
Grojecka 46/50
Grojecka 69
Grojecka 72
Grojecka 76
Grojecka 80/102
Grojecka 95
Grzybowska 37
Grzybowska 4
Grzybowska 53/57
Grzybowska 59
Grzybowska 90A 90A
Gwiazdzista  5d
Gwiazdzista  7d
Gwiazdzista 7d
H. Czaki 2
H. Czaki 4
H. Dembinskiego 3
H. Siemiradzkiego 13
H. Siemiradzkiego 9
H. Sienkiewicza  12/14
H. Sienkiewicza 3
H. Sienkiewicza 5
H. Wieniawskiego 2A
Harfowa 1a
Hipoteczna 2
Hoza  5/7
Hoza 41
Hoza 42
Hoza 57
Hoza 59-61
Hoza 62
Hoza 63/67
Hoza 88
Hrubieszowska 7
Hrubieszowska 9
I. L. Pereca 1
I. L. Pereca 16
I. L. Pereca 2
Inflancka  4b
Inflancka 4
Inflancka 4
Inflancka 6
Inflancka 6
Inzynierska 4
Iwicka 51
Izabelli 9
J. Bartoszewicza 1b
J. Bartoszewicza 1c
J. Bartoszewicza 2
J. Bellottiego 1/3
J. Bema 70
J. Bema 76
J. Bema 93
J. Ch. Paska 5/7
J. Dabrowskiego 8
J. Dlugosza 10
J. Dlugosza 10
J. Dlugosza 19
J. Dlugosza 29
J. Ficowskiego 9
J. Groszkowskiego 5
J. i J. sniadeckich 17
J. i J. sniadeckich 21
J. i J. sniadeckich 8
J. Kozietulskiego 1
J. Kozietulskiego 12
J. Lewartowskiego 10
J. Lewartowskiego 10
J. Lewartowskiego 17
J. Mianowskiego 4
J. Ostroroga  35A
J. Ostroroga 20
J. Ostroroga 20
J. Ostroroga 21
J. Ostroroga 35
J. Siemienskiego 13
J. Siemienskiego 21
J. Slowackiego 27/33
J. Slowackiego 5
J. Szajnacy 18a
J. Szanajcy 14
J. Szanajcy 14
J. Szanajcy 2A
J. U. Niemcewicza 17
J. U. Niemcewicza 3
J. U. Niemcewicza 7/9
Jagiellonska 1
Jagiellonska 15
Jagiellonska 18
Jagiellonska 2
Jagiellonska 27
Jagiellonska 34
Jagiellonska 4
Jagiellonska 4
Jagiellonska 4
Jagiellonska 5
Jagiellonska 50
Jagiellonska 52
Jagiellonska 58
Jagiellonska 60
Jagiellonska 62
Jagiellonska 7
Jaktorowska 1-5
Jaktorowska 4
Jankowska 3a
Jasielska 47
Jasielska 50
Jasna 5
Jasna 5
Jasna 7
Jasnodworska 6
Jasnodworska 9
K. Bohdanowicza 2
K. Bohdanowicza 4
K. Bohdanowicza 4
K. Brodzinskiego 2
K. Darwina 13
K. Darwina 5
K. Dickensa 5
K. K. Baczynskiego 1
K. Karasia 2
K. Marcinkowskiego 13
K. Marcinkowskiego 7
K. Promyka 3
K. Szymanowskiego 6
K. Szymanowskiego 7
K. Szymanowskiego 8
Kaliska 15
Kaliska 42a
Kaliska 8/10
Kaliska 8/10
Kamienna 3
Kanonia 8
Karmelicka 10
Karmelicka 15
Karmelicka 1a
Karmelicka 26
Karmelicka 27
Karmelicka 2a
Karolkowa  78A
Karolkowa  78B
Karolkowa  80/82
Karolkowa 28
Karolkowa 30
Karolkowa 53
Karolkowa 63
Karowa 20
Karowa 31
Kawalerii 5
Kaweczynska 4B
Kazimierzowska 46/48
Kazimierzowska 50
Kazimierzowska 53/55
Kazimierzowska 57/61
Kazimierzowska 77
Kazimierzowska 85
Kepna 13
Kielecka 31A
Kielecka 37
Kielecka 43
Kielecka 45
Kijowska 1A
Kijowska 20
Kijowska 20
Kolska 12
Konopacka 3/5
Konopacka 8
Konwiktorska 3/5
Konwiktorska 7
Konwiktorska 9
Koszykowa 10
Koszykowa 28
Koszykowa 34/50
Koszykowa 53
Koszykowa 53
Koszykowa 6a
Koszykowa 82A
Koscielna 14/16
Kowelska 4
Kowelska 6-10
Kowienska 12/20
Kowienska 3
Kozia 25
Kozla 1b
Kozminska 9
Krakowskie Przedmiescie 62
Kredytowa 1
Krochmalna 3
Krolewska 2
Krolewska 27
Krolewska 45
Krozanska 12
Krucza 16/22
Krucza 16/22
Krucza 17
Krucza 23/31
Krucza 38/42 (1)
Krucza 38/42 (2)
Krucza 41/43
Krucza 46
Krucza 5/11
Krucza 5/11
ks. I. Klopotowskiego 1/3
ks. I. Klopotowskiego 14
ks. I. Klopotowskiego 15
ks. I. Klopotowskiego 30
ks. I. Klopotowskiego 33
ks. I. Klopotowskiego 36 (1)
ks. I. Klopotowskiego 36 (2)
ks. I. Klopotowskiego 8
ks. I. Skorupki 2
ks. I. Skorupki 4
ks. I. Skorupki 8
ks. J. Popieluszki 13
ks. J. Popieluszki 17
ks. J. Popieluszki 3
ks. J. Popieluszki 3
ks. J. Popieluszki 3
ks. J. Popieluszki 4
ks. T. Boguckiego 10
ks. T. Boguckiego 5
Ksiecia Trojdena 11
Ksiecia Trojdena 13
Ksiecia Trojdena 2d
Ksiecia Trojdena 3
Ksiecia Trojdena 5
Ksiecia Trojdena 7
Kubusia Puchatka 1
Kwiatowa 23
L. Kruczkowskiego 14
L. Mieroslawskiego 22
L. Narbutta 11A
L. Narbutta 20
L. Narbutta 24
L. Narbutta 25A
L. Narbutta 27a
L. Narbutta 37
L. Narbutta 4
L. Narbutta 49/51
L. Narbutta 50A
L. Narbutta 55/57
L. Narbutta 65/71
L. Narbutta 65/71
L. Narbutta 65/71
L. Narbutta 7
L. Narbutta 70
L. Narbutta 84
L. Narbutta 84
L. Narbutta 84
L. Pasteura 1
L. Pasteura 5
L. Pasteura 7
L. Pasteura 7
L. Rydygiera 3
L. Rydygiera 8
L. Rydygiera 8
L. Schillera 10
L. Schillera 10
L. Schillera 4
L. Schillera 6
L. Warynskiego 28
L. Warynskiego 9
L. Zamenhofa 10
L. Zamenhofa 8
L. Zamenhofa 8
L. Zamenhofa 9
Ladowa 5/11
Lelechowska 14
Lelechowska 5
Leonarda 12
Leszczynska 12
Leszno 17
Leszno 8/10
Leszno 9
Letnia 3
Ligocka 2
Litewska 10
Litewska 16
Litewska 5
Ludna 10A
Ludna 11
Ludna 5
Ludwiki 4
Ludwiki 5
Lwowska 13
l. Golebiowskiego 4
l. Gornickiego 3
lazienkowska 3
lowicka 40A
lowicka 46
lowicka 50
lowicka 54
lowicka 58
lucka 18
lucka 20
M. Anielewicza 10-12
M. Anielewicza 20
M. Anielewicza 24-26
M. Anielewicza 30
M. Anielewicza 4
M. Anielewicza 7
M. Baluckiego 18
M. Baluckiego 30
M. Kasprzaka 11A 11A
M. Kasprzaka 2
M. Kazimiery 1
M. Kazimiery 14
M. Kopernika 11-13
M. Kopernika 28
M. Kopernika 43
M. Kopernika 8/18
M. Mochnackiego 10
M. Mochnackiego 12
M. Mochnackiego 4
M. Orlowicza 12
M. Reja  3/5
M. Reja 1
M. Reja 9
M. Sarbiewskiego 2
M. Sklodowskiej-Curie 15
M. Sklodowskiej-Curie 15
M. Wierzynka 5
Mala 5
Marianska 1
Marianska 5
Markowska 18A
Marszalkowska  104/122
Marszalkowska 138 (1)
Marszalkowska 138 (2)
Marszalkowska 140
Marszalkowska 2
Marszalkowska 20/22
Marszalkowska 24/26
Marszalkowska 28
Marszalkowska 34/50
Marszalkowska 4
Marszalkowska 55-73
Marszalkowska 6
Marszalkowska 64
Marszalkowska 8
Marszalkowska 81
Marszalkowska 85 (1)
Marszalkowska 85 (2)
Marszalkowska 87
Mazowiecka 13
Mazowiecka 7
Melsztynska  29A
Miedziana 10-12
Miedziana 4
Mila 15-17
Mila 19
Mila 25
Mila 26
Mila 27
Mila 9
Miodowa 15
Mlynarska 37a
Mlynarska 37a
Mokotowska 12-14
Mokotowska 15
Mokotowska 16/20
Mokotowska 22
Mokotowska 24
Mokotowska 54
Mokotowska 55
Mokotowska 57
Mokotowska 69
Mokotowska 6a
Moliera 6
Moldawska 12
Moldawska 4
Moldawska 5
Moldawska 5/7
Muranowska 1
Mysia 2
Mysliwiecka  3/5/7
Mysliwiecka 10
Nalewki 5
Namyslowska 1
Namyslowska 13
Natolinska 12
Natolinska 3
Natolinska 3
Natolinska 3
Nieborowska 11
Niecala 9
Nieporecka 14
Nieporecka 4
Niska 11
Niska 19
Niska 21
Niska 25
Nowogrodzka 1/3
Nowogrodzka 11
Nowogrodzka 14
Nowogrodzka 15
Nowogrodzka 19
Nowogrodzka 20
Nowogrodzka 31
Nowogrodzka 35/41
Nowogrodzka 44
Nowogrodzka 45
Nowogrodzka 49
Nowogrodzka 50/54
Nowogrodzka 62b
Nowogrodzka 64
Nowogrodzka 6a
Nowogrodzka 75
Nowogrodzka 82
Nowolipie 14a
Nowolipie 26
Nowolipie 31
Nowolipie 8
Nowolipki 12
Nowolipki 15
Nowolipki 34
Nowosielecka 12
Nowosielecka 12
Nowowiejska 1/3
Nowowiejska 10
Nowowiejska 10
Nowowiejska 27
Nowowiejska 31
Nowowiejska 37b
Nowowiejska 5
Nowy swiat 6/12
Obozna 3
Obozna 6-8
Odolanska 11
Odolanska 7
Ogrodowa 11
Ogrodowa 28/30
Ogrodowa 32
Ogrodowa 37
Ogrodowa 50a
Ogrodowa 51
Ogrodowa 58
Ogrodowa 7
Ogrodowa 8
Okopowa 18
Okopowa 20
Okopowa 27-29
Okopowa 31
Okopowa 31
Okopowa 33
Okolnik 11
Okolnik 9
Okolnik 9a
Okrag 1a
Okrag 8/10
Oleandrow 2/4
Oleandrow 4
Olesinska 6
Opaczewska 10
Opaczewska 16
Opaczewska 20
Opaczewska 25
Opaczewska 26
Opaczewska 27
Opaczewska 32
Opaczewska 34
Opaczewska 42
Opaczewska 44
Opaczewska 44
Opaczewska 9
Orla 7/9
Or-Ota 5
P. Gojawiczynskiej 15
P. Gojawiczynskiej 3
Panska 112
Panska 67
Panska 81/83
Parkowa 7a
Pasaz W. Nizynskiego 6
Pawia 28
Pawia 4
Pawia 55
Piekna 1a
Piekna 21
Piekna 24/26A
Piekna 28/34
Piekna 3
Piekna 43
Piekna 66
Piekna 7/9
pl. Bankowy 3/5
pl. gen. J. Hallera 10
pl. gen. J. Hallera 5
pl. Grzybowski 2
pl. Inwalidow 10
pl. Inwalidow 3
pl. Inwalidow 3
pl. Inwalidow 4/6/8
pl. J. H. Dabrowskiego 1
pl. J. H. Dabrowskiego 5
pl. Konstytucji  1 (2)
pl. Konstytucji 1
pl. Konstytucji 4
pl. Mirowski 1
pl. Mirowski 12
pl. Mirowski 1a
pl. S. Malachowskiego 3
pl. S. Starynkiewicza 1/3
pl. Teatralny 1
pl. Trzech Krzyzy 3/5
pl. Trzech Krzyzy 3/5
pl. Trzech Krzyzy 3/5
pl. Zamkowy  10
Platynowa 8
Plocka 12
Plocka 22A
Plocka 26
Plocka 2C
Plocka 59
Podchorazych 16
Podchorazych 20
Podchorazych 49/61
Podchorazych 63/67
Podwale 11
Podwale 3
Poniecka 2
Potocka 2a
Potocka 58
Powazkowska 1/1
Powazkowska 14
Powazkowska 24
Powazkowska 46/50
Powazkowska 74
Powazkowska 78
Powazkowska Brama IV
Powstancow Wielkopolskich 5
Poznanska 1
Poznanska 12
Prokuratorska 10
Prosta 28
Prosta 51
Prozna 8a
Pruszkowska 12
Pruszkowska 4d
Pruszkowska 4d
Przasnyska 16
Przasnyska 17
Przasnyska 17
Przasnyska 22
Przasnyska 6a
Przemyslowa 26
Przemyslowa 35
Przy Parku 18
Przyokopowa 22/24
Przyokopowa 26
Przyokopowa 28
Przyokopowa 28
Ptasia 6
Pulawska 1a
Pulawska 23/25
Pulawska 24
Pulawska 24
Pulawska 3
Pulawska 66/70
Pulawska 7/9
Pulawska 81
R. Krajewskiego 2
R. Krajewskiego 2
R. Sanguszki 1
R. Traugutta 3
Raclawicka 1
Raclawicka 146
Raclawicka 150
Raclawicka 156
Raclawicka 156
Radomska 14
Radomska 20
Radzyminska 12
Radzyminska 36/38/40
Radzyminska 37
Radzyminska 56
Radzyminska 59
Rakowiecka 24
Rakowiecka 2B
Rakowiecka 45
Raszynska 52
Raszynska 58
Ratuszowa 13
Ratuszowa 17/19
Ratuszowa 2D
Rokosowska 1
Rokosowska 1
Rokosowska 11
Rokosowska 7
Rozbrat 34/36
Rozbrat 44a
Rowna 10
Rowna 4A
Rozana 16
Rozana 61
Rozana 7
Rycerska  4/6
Rynek Nowego Miasta 17
Rynek Nowego Miasta 2
S. Baleya 10
S. Baleya 2
S. Baleya 8
S. Baleya 9
S. Batorego  16
S. Batorego 10
S. Batorego 14
S. Batorego 18
S. Batorego 20
S. Batorego 29
S. Batorego 31A
S. Batorego 35
S. Batorego 37
S. Bobrowskiego 6
S. Bobrowskiego 7
S. Czarnieckiego 11
S. Dubois 5A
S. Dygata 6
S. Hozjusza 2
S. Hozjusza 2
S. Hozjusza 2
S. Jaracza 1
S. Jaracza 2
S. Jaracza 3
S. Jaracza 8
S. K. Hankiewicza 1
S. Klonowicza 2
S. Krzyzanowskiego 36
S. Krzyzanowskiego 44
S. Noakowskiego 12
S. Noakowskiego 18
S. Noakowskiego 22
S. Okrzei 7
S. Okrzei 7
S. Skarzynskiego 1
S. Skarzynskiego 17
S. Starzynskiego 12
S. Staszica 18
S. Wyspianskiego 5
S. Wyspianskiego 5
S. Wyspianskiego 6/8
S. Wyspianskiego 6/8
S. Wyspianskiego 6/8
Sady zoliborskie 11
Sady zoliborskie 15
Sady zoliborskie 15a
Sady zoliborskie 2
Sady zoliborskie 7
Sady zoliborskie 9
Sandomierska 12
Sanocka 1/3
Sanocka 6
Sapiezynska 1
Sachocka 1
Sachocka 5
Senatorska 31
Senatorska 40
Sewerynow 8
Sekocinska 10
Sekocinska 16
Siedmiogrodzka 1
Siedmiogrodzka 5
Siedmiogrodzka 5
Sienna 45
Sienna 53
Sienna 61
Sienna 63
Sienna 67
Sienna 75
Sienna 93
Sierpinskiego 156
Siewierska 17
Skierniewicka 1/7
Skolimowska 6
skwer kard. S. Wyszynskiego 3
skwer kard. S. Wyszynskiego 9
Sloneczna 50
Slupecka 10
Slupecka 11
Slupecka 4
Sluzewska 2
Sluzewska 6
Smocza 1
Smocza 16a
Smocza 21
Smocza 29
Smocza 4
Smolna 11
Smolna 15
Smolna 20
Smolna 36
Smolna 40
Sokolowska 10
Sokolowska 3
Sokolowska 9
Solec 18
Solec 24
Solec 24b
Solec 28
Solec 48
Solec 93
Solec 93
Solec 99
Sowia 4
Spacerowa 18
Spokojna 5
Spokojna 7
Srebrna 3
Stalowa 1
Stalowa 2
Stalowa 33
Stalowa 33
Stara 4
Staroscinska 4/6
Staroscinska 5
Stawki 2
Stawki 2
Stawki 3
Stawki 5/7
Stepinska 39
Strzelecka 14
Strzelecka 21/25
Strzelecka 48A
Strzelecka 7/9
Syreny 17
Syreny 20
Syreny 21
Syreny 23
Syreny 26
Syreny 26
Syreny 33
Syreny 37
Syreny 8
Sz. Grzeszczyka 6
Sz. Grzeszczyka 6
